Emp_ID,Emp_Name,Department,Salary
101,Sanket,IT,20000
102,Priyanka,HR,45000
103,Rahul,Finance,60000
104,Anjali,IT,55000
105,Shiv,HR,47000
106,Neha,Finance,62000
107,Amit,IT,53000
108,Pooja,HR,48000
109,Ramesh,Finance,61000
110,Kiran,IT,52000
111,Sonia,HR,45500
112,Vinay,Finance,64000
113,Meera,IT,51000
114,Aditya,HR,46500
115,Rahul,Finance,60000
116,Sneha,IT,52500
117,Ankit,HR,47000
118,Rekha,Finance,61500
119,Manoj,IT,53500
120,Sudha,HR,46000
121,Raj,Finance,62500
122,Geeta,IT,54000
123,Deepak,HR,47500
124,Kavita,Finance,63000
125,Nilesh,IT,55000
126,Shweta,HR,48000
127,Harsh,Finance,61000
128,Tanya,IT,53000
129,Ritu,HR,45500
130,Prakash,Finance,62000
131,Sunil,IT,52500
132,Mansi,HR,46500
133,Varun,Finance,64000
134,Payal,IT,51000
135,Nikhil,HR,47000
136,Rajesh,Finance,61500
137,Priyanka,IT,53500
138,Anil,HR,46000
139,Richa,Finance,62500
140,Neeraj,IT,54000
141,Seema,HR,47500
142,Shubham,Finance,63000
143,Vaishali,IT,55000
144,Ashok,HR,48000
145,Komal,Finance,61000
146,Rakesh,IT,53000
147,Alka,HR,45500
148,Suraj,Finance,62000
149,Manisha,IT,52500
150,Kamal,HR,46500
